timestamp,object,message
2026-09-10T12:05:29.266Z,jenkins,2026-09-10 12:05:29.266+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of variant for plugin ssh-credentials
2026-09-10T12:05:29.269Z,jenkins,2026-09-10 12:05:29.267+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-api for plugin timestamper
2026-09-10T12:05:29.271Z,jenkins,2026-09-10 12:05:29.268+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of scm-api for plugin workflow-api
2026-09-10T12:05:29.271Z,jenkins,2026-09-10 12:05:29.271+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of matrix-project for plugin ws-cleanup
2026-09-10T12:05:29.272Z,jenkins,2026-09-10 12:05:29.272+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of script-security for plugin matrix-project
2026-09-10T12:05:29.272Z,jenkins,2026-09-10 12:05:29.272+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of caffeine-api for plugin script-security
2026-09-10T12:05:29.273Z,jenkins,2026-09-10 12:05:29.272+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of junit for plugin matrix-project
2026-09-10T12:05:29.274Z,jenkins,2026-09-10 12:05:29.273+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of bootstrap5-api for plugin junit
2026-09-10T12:05:29.274Z,jenkins,2026-09-10 12:05:29.273+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of font-awesome-api for plugin bootstrap5-api
2026-09-10T12:05:29.274Z,jenkins,2026-09-10 12:05:29.273+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of plugin-util-api for plugin font-awesome-api
2026-09-10T12:05:29.274Z,jenkins,2026-09-10 12:05:29.273+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-support for plugin plugin-util-api
2026-09-10T12:05:29.274Z,jenkins,2026-09-10 12:05:29.274+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of echarts-api for plugin junit
2026-09-10T12:05:29.274Z,jenkins,2026-09-10 12:05:29.274+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of jackson3-api for plugin echarts-api
2026-09-10T12:05:29.275Z,jenkins,2026-09-10 12:05:29.274+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of jackson-annotations2-api for plugin jackson3-api
2026-09-10T12:05:29.275Z,jenkins,2026-09-10 12:05:29.275+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of snakeyaml-engine-api for plugin jackson3-api
2026-09-10T12:05:29.275Z,jenkins,2026-09-10 12:05:29.275+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of woodstox-core-api for plugin jackson3-api
2026-09-10T12:05:29.275Z,jenkins,2026-09-10 12:05:29.275+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of jquery3-api for plugin echarts-api
2026-09-10T12:05:29.276Z,jenkins,2026-09-10 12:05:29.275+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of prism-api for plugin junit
2026-09-10T12:05:29.276Z,jenkins,2026-09-10 12:05:29.276+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of display-url-api for plugin junit
2026-09-10T12:05:29.276Z,jenkins,2026-09-10 12:05:29.276+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of checks-api for plugin junit
2026-09-10T12:05:29.276Z,jenkins,2026-09-10 12:05:29.276+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of resource-disposer for plugin ws-cleanup
2026-09-10T12:05:29.277Z,jenkins,2026-09-10 12:05:29.277+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of okhttp-api for plugin gradle
2026-09-10T12:05:29.277Z,jenkins,2026-09-10 12:05:29.277+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of jackson2-api for plugin gradle
2026-09-10T12:05:29.278Z,jenkins,2026-09-10 12:05:29.277+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of jaxb for plugin jackson2-api
2026-09-10T12:05:29.278Z,jenkins,2026-09-10 12:05:29.277+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of javax-activation-api for plugin jaxb
2026-09-10T12:05:29.278Z,jenkins,2026-09-10 12:05:29.278+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of json-api for plugin jackson2-api
2026-09-10T12:05:29.278Z,jenkins,2026-09-10 12:05:29.278+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of jakarta-activation-api for plugin jackson2-api
2026-09-10T12:05:29.278Z,jenkins,2026-09-10 12:05:29.278+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of snakeyaml-api for plugin jackson2-api
2026-09-10T12:05:29.278Z,jenkins,2026-09-10 12:05:29.278+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of jakarta-xml-bind-api for plugin jackson2-api
2026-09-10T12:05:29.278Z,jenkins,2026-09-10 12:05:29.278+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of apache-httpcomponents-client-4-api for plugin gradle
2026-09-10T12:05:29.279Z,jenkins,2026-09-10 12:05:29.279+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-job for plugin gradle
2026-09-10T12:05:29.279Z,jenkins,2026-09-10 12:05:29.279+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of pipeline-milestone-step for plugin workflow-aggregator
2026-09-10T12:05:29.279Z,jenkins,2026-09-10 12:05:29.279+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-durable-task-step for plugin workflow-aggregator
2026-09-10T12:05:29.280Z,jenkins,2026-09-10 12:05:29.279+0000 [id=29]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of durable-task for plugin workflow-durable-task-step
